id,libdep,circo,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,actemp,actcho,inactret,age_moyen,libelle_commune,total_voix_par_ville,catégorie,nom,voix,pourcentage_voix,code_insee,insecurite,taux_chomage_moyen
595,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,POUTOU,2,0.24125452352231602,02041,0.0,10.375
596,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,DUPONT-AIGNAN,14,1.6887816646562124,02041,0.0,10.375
597,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,abstentions,177,21.35102533172497,02041,0.0,10.375
598,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,blancs,9,1.0856453558504222,02041,0.0,10.375
599,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,nuls,0,0.0,02041,0.0,10.375
31815,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,ARTHAUD,0,0.0,60688,0.0,7.375
31816,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,ROUSSEL,7,6.0344827586206895,60688,0.0,7.375
31817,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,MACRON,19,16.379310344827587,60688,0.0,7.375
31818,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,LASSALLE,0,0.0,60688,0.0,7.375
31819,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,LE PEN,33,28.448275862068968,60688,0.0,7.375
31820,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,ZEMMOUR,7,6.0344827586206895,60688,0.0,7.375
31821,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,MÉLENCHON,12,10.344827586206897,60688,0.0,7.375
31822,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,HIDALGO,0,0.0,60688,0.0,7.375
31823,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,JADOT,5,4.310344827586207,60688,0.0,7.375
31824,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,PÉCRESSE,2,1.7241379310344827,60688,0.0,7.375
31825,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,POUTOU,4,3.4482758620689653,60688,0.0,7.375
31826,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,DUPONT-AIGNAN,3,2.586206896551724,60688,0.0,7.375
31827,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,abstentions,22,18.96551724137931,60688,0.0,7.375
31828,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,blancs,1,0.8620689655172413,60688,0.0,7.375
31829,Oise,60001,15.0,29.1,29.9,20.7,5.3,40.0,7.0,20.5,39.2,Villers-sur-Bonnières,116,Petite ville,nuls,1,0.8620689655172413,60688,0.0,7.375
720,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,ARTHAUD,1,0.34843205574912894,02051,0.0,10.375
721,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,ROUSSEL,3,1.0452961672473868,02051,0.0,10.375
722,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,MACRON,50,17.421602787456447,02051,0.0,10.375
723,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,LASSALLE,7,2.4390243902439024,02051,0.0,10.375
724,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,LE PEN,85,29.61672473867596,02051,0.0,10.375
725,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,ZEMMOUR,17,5.923344947735192,02051,0.0,10.375
726,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,MÉLENCHON,24,8.362369337979095,02051,0.0,10.375
727,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,HIDALGO,0,0.0,02051,0.0,10.375
728,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,JADOT,7,2.4390243902439024,02051,0.0,10.375
729,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,PÉCRESSE,7,2.4390243902439024,02051,0.0,10.375
730,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,POUTOU,1,0.34843205574912894,02051,0.0,10.375
731,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,DUPONT-AIGNAN,5,1.7421602787456445,02051,0.0,10.375
732,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,abstentions,77,26.82926829268293,02051,0.0,10.375
733,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,blancs,0,0.0,02051,0.0,10.375
734,Aisne,02005,13.3,29.3,30.6,20.6,6.2,40.7,6.6,22.7,41.0,Barzy-sur-Marne,287,Petite ville,nuls,3,1.0452961672473868,02051,0.0,10.375
825,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Beaurieux,655,Petite ville,ARTHAUD,4,0.6106870229007634,02058,0.0,10.375
826,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Beaurieux,655,Petite ville,ROUSSEL,9,1.3740458015267176,02058,0.0,10.375
827,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Beaurieux,655,Petite ville,MACRON,74,11.297709923664122,02058,0.0,10.375
828,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Beaurieux,655,Petite ville,LASSALLE,10,1.5267175572519083,02058,0.0,10.375
829,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Beaurieux,655,Petite ville,LE PEN,195,29.770992366412212,02058,0.0,10.375
830,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Beaurieux,655,Petite ville,ZEMMOUR,30,4.580152671755725,02058,0.0,10.375
831,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Beaurieux,655,Petite ville,MÉLENCHON,66,10.076335877862595,02058,0.0,10.375
